Date,Petrol Price,Diesel Price
2016-01-01,59.35,45.03
2016-01-16,59.03,44.18
2016-01-19,59.99,44.71
2016-02-01,59.95,44.68
2016-02-18,59.63,44.96
2016-03-01,56.61,46.43
2016-03-17,59.68,48.33
2016-04-01,59.68,48.33
2016-04-05,61.87,49.31
2016-04-16,61.13,48.01
2016-05-01,62.19,50.95
2016-05-17,63.02,51.67
2016-06-01,65.6,53.93
2016-06-16,65.65,55.19
2016-07-01,64.76,54.7
2016-07-16,62.51,54.28
2016-08-01,61.09,52.27
2016-08-16,60.09,50.27
2016-09-01,63.47,52.94
2016-09-16,64.21,52.59
2016-10-01,64.58,52.51
2016-10-05,64.72,52.61
2016-10-16,66.45,55.38
2016-11-06,67.62,56.41
2016-11-16,65.93,54.71
2016-12-01,66.1,54.57
2016-12-17,68.94,56.68
2017-01-02,70.6,57.82
2017-01-16,71.14,59.02
2017-04-01,66.29,55.61
2017-04-16,68.07,56.83
2017-05-01,68.09,57.35
2017-05-16,65.32,54.9
2017-06-01,66.91,55.94
2017-06-16,65.48,54.49
2017-06-17,65.23,54.32
2017-06-18,64.91,54.14
2017-06-19,64.65,54.01
2017-06-20,64.55,53.96
2017-06-21,64.55,53.96
2017-06-22,64.44,53.94
2017-06-23,64.23,53.85
2017-06-24,63.99,53.76
2017-06-25,63.71,53.61
2017-06-26,63.55,53.53
2017-06-27,63.46,53.53
2017-06-28,63.46,53.53
2017-06-29,63.47,53.53
2017-06-30,63.31,53.46
2017-07-01,63.09,53.33
2017-07-02,63.06,53.36
2017-07-03,63.13,53.47
2017-07-04,63.08,53.44
2017-07-05,63.08,53.44
2017-07-06,63.19,53.61
2017-07-07,63.33,53.82
2017-07-08,63.46,54.06
2017-07-09,63.65,54.32
2017-07-10,63.83,54.55
2017-07-11,63.93,54.74
2017-07-12,63.93,54.74
2017-07-13,63.91,54.7
2017-07-14,63.89,54.66
2017-07-15,64.03,54.85
2017-07-16,64.11,54.93
2017-07-17,64.15,54.99
2017-07-18,64.21,55.04
2017-07-19,64.21,55.04
2017-07-20,64.25,55.05
2017-07-21,64.28,55.02
2017-07-22,64.3,54.95
2017-07-23,64.4,54.93
2017-07-24,64.53,54.94
2017-07-25,64.57,54.95
2017-07-26,64.57,54.95
2017-07-27,64.59,54.94
2017-07-28,64.69,55.03
2017-07-29,64.87,55.19
2017-07-30,65.0,55.31
2017-07-31,65.26,55.5
2017-08-01,65.4,55.58
2017-08-02,65.47,55.64
2017-08-03,65.69,55.85
2017-08-04,66.0,56.1
2017-08-05,66.28,56.33
2017-08-06,66.51,56.54
2017-08-07,66.66,56.61
2017-08-08,66.75,56.72
2017-08-09,66.81,56.78
2017-08-10,66.96,56.81
2017-08-11,67.27,56.98
2017-08-12,67.5,57.15
2017-08-13,67.76,57.24
2017-08-14,67.95,57.25
2017-08-15,68.08,57.3
